"OBJECTID","Join_Count","Survey_to_Reef_Dist","TARGET_FID","SPECIES_CD","LIFE_STAGE","PRES","PRES2","N","SOURCE","LON_M","LAT_M","Habitat","Mangrove_Dist","Depth","StDev_Depth","Slope","Curvature","Plan_Curve","BPI_Fine","BPI_Broad","Rugosity","Mean_Sum_Temp","Mean_Sum_DO","Mean_Sum_Sal","Mean_Win_Temp","Mean_Win_DO","Mean_Win_Sal","OBJECTID_1","Source_1","Zone_","GeoForm","GeoformDet","GeoformD_1","BioCover","BioCoverDe","PercentBio","PercentCor","CMECS_Geo","CMECS_Bio","ClassLv0","ClassLv1","ClassLv2","ClassLv3","ClassLv4","Shape_Leng","POLY_AREA","PERIMETER","PA_Ratio","NEAR_FID","NEAR_DIST","Patch_ID","Coral_Reef_and_Hardbottom","Not_Classified","Seagrass","Unconsolidated_Sediment","Reef_Dist"
1,1,0,7,"HAE SCIU","SUBADULT",1,"PRESENCE",3,"REEF VISUAL CENSUS",196881.0559,34617.65295,1,7985.270996,-24.35516548,NA,0.374624074,-0.035552979,-0.012377622,-9,-1028,1.000001192,30.48384476,6.085976601,35.51097488,23.82907677,6.935937881,35.74185562,7,"Unified Patch Reef Map v1.3",NA,"Coral Reef and Hardbottom","Individual Patch Reef",NA,NA,NA,NA,NA,"G_B_S_P_I","B_R_S_C","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Individual Patch Reef","Individual Patch Reef",112.902021444,856.910005322556,120.915552275471,0.141106477371513,582,418.858319559416,581,162415.075515354,803.858126072576,0,0,147.071075439453
2,1,0,25,"HAE SCIU","SUBADULT",1,"PRESENCE",0.5,"REEF VISUAL CENSUS",275050.6865,93582.2895,1,9228.038086,-8.715013504,0.76339525,10.38137722,2.691993713,0.023371818,1220,-8,1.002143025,30.32634926,6.152318478,35.51607895,23.70679665,6.910238743,36.44515228,25,"Unified Patch Reef Map v1.3","Lagoon","Coral Reef and Hardbottom","Individual Patch Reef",NA,"Algae",NA,"50%-90%","10%-50%","G_B_S_P_I","B_A_B__P","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Individual Patch Reef","Individual Patch Reef, Algae (Discontinuous)",541.021521113,17661.4444847301,541.008949065005,0.0306322027925154,5350,5.25658384296473,4501,159524.287576433,0,360.521417508983,625511.825959585,2709.98510742188
3,1,0,26,"HAE SCIU","SUBADULT",1,"PRESENCE",2,"REEF VISUAL CENSUS",275057.9388,93546.8805,1,9266.027344,-9.471824646,0.505160987,7.089205742,-1.11138916,-0.682073534,605,-8,1.00032568,30.32476234,6.152503967,35.51620483,23.70949364,6.909941196,36.44481659,26,"Unified Patch Reef Map v1.3","Lagoon","Coral Reef and Hardbottom","Individual Patch Reef",NA,"Algae",NA,"50%-90%","10%-50%","G_B_S_P_I","B_A_B__P","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Individual Patch Reef","Individual Patch Reef, Algae (Discontinuous)",541.021521113,17661.4444847301,541.008949065005,0.0306322027925154,5350,5.25658384296473,4501,167863.415534381,0,0,617533.117647195,2679.12744140625
4,1,0,27,"HAE SCIU","SUBADULT",1,"PRESENCE",1,"REEF VISUAL CENSUS",156312.9312,24243.12207,1,8031.732422,-9.275570869,0.043289661,0.587348163,-0.122589111,0.013087562,-9,64,1.000009298,30.38496971,6.118857861,35.55389404,24.51436615,6.883731842,36.08983994,27,"Unified Patch Reef Map v1.3",NA,"Coral Reef and Hardbottom","Individual Patch Reef",NA,NA,NA,NA,NA,"G_B_S_P_I","B_R_S_C","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Individual Patch Reef","Individual Patch Reef",823.776706635,39257.5295534339,823.683662834797,0.0209815460168901,925,47.8720624538119,928,401082.158977366,0,150034.998637627,234278.970864757,916.213195800781
5,1,0,28,"HAE SCIU","SUBADULT",1,"PRESENCE",9,"REEF VISUAL CENSUS",150315.8461,22962.79831,1,8557.213867,-8.257291794,0.043874267,0.605952382,0.022029877,0.03250432,-9,64,1.000001311,30.40382576,6.103019714,35.82921219,24.37863922,6.86665535,36.02269363,28,"Unified Patch Reef Map v1.3",NA,"Coral Reef and Hardbottom","Individual Patch Reef",NA,NA,NA,NA,NA,"G_B_S_P_I","B_R_S_C","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Individual Patch Reef","Individual Patch Reef",1357.4023821,103615.081618421,1357.58146732213,0.0131021608642035,916,585.418293019237,791,122971.423356299,0,359905.727608418,302518.860160244,1130
6,1,0,29,"HAE SCIU","SUBADULT",1,"PRESENCE",11.25,"REEF VISUAL CENSUS",150351.2567,22948.27321,3,8557.716797,-8.318786621,0.049368981,0.691472411,-0.091686249,-0.053888708,-9,64,1.00000155,30.4036293,6.103263378,35.83245087,24.37911606,6.866279125,36.02554703,29,"Unified Patch Reef Map v1.3",NA,"Coral Reef and Hardbottom","Individual Patch Reef",NA,NA,NA,NA,NA,"G_B_S_P_I","B_R_S_C","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Individual Patch Reef","Individual Patch Reef",1357.4023821,103615.081618421,1357.58146732213,0.0131021608642035,916,585.418293019237,791,128910.259681579,0,341619.025697836,314867.112477356,1129.49743652344
7,1,13.9360580941298,36,"HAE SCIU","SUBADULT",1,"PRESENCE",14.5,"REEF VISUAL CENSUS",196796.2982,35819.43147,8,6855.026855,-6.783575535,0.019589148,0.272412539,-0.013307571,-0.01272357,-9,64,1.000000119,30.50781059,6.086900234,35.51097488,23.80136108,6.939804554,35.78577042,36,"Unified Patch Reef Map v1.3",NA,"Coral Reef and Hardbottom","Aggregated Patch Reef",NA,NA,NA,NA,NA,"G_B_S_AP","B_R_S__S","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Aggregated Patch Reef","Aggregated Patch Reef",230.563024745,2924.03469236703,230.521650352213,0.0788368383432563,627,88.3750966700106,628,281587.330459076,0,392056.71319343,111752.47518432,682.989929199219
8,1,3.97172998273282,38,"HAE SCIU","SUBADULT",1,"PRESENCE",38.5,"REEF VISUAL CENSUS",274870.6898,90390.88532,5,10291.625,-7.844418049,0.057571668,0.806470156,0.13589859,0.079809532,-9,282,1.000004053,30.18660736,6.172687531,35.52942657,23.89906883,6.875248432,36.36750793,38,"Unified Patch Reef Map v1.3",NA,"Coral Reef and Hardbottom","Individual Patch Reef",NA,NA,NA,NA,NA,"G_B_S_P_I","B_R_S_C","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Individual Patch Reef","Individual Patch Reef",72.8718468605,381.967202292357,72.7709659695033,0.190516268236571,5574,414.953569117314,5573,490521.152081505,0,0,294875.296908492,154.350296020508
9,1,0,44,"HAE SCIU","SUBADULT",1,"PRESENCE",16.375,"REEF VISUAL CENSUS",217180.847,43774.65884,1,9604.888672,-8.622698784,0.016757103,0.232962042,-0.041728973,-0.012945671,-9,64,1.000000477,30.58083916,6.0760746,35.51097488,24.03177261,6.920527458,35.97826385,44,"Keys NOAA","Lagoon","Coral Reef and Hardbottom","Aggregated Patch Reefs",NA,"Algae",NA,"50%-90%","10%-50%","G_B_S_AP","B_A_B__P","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Aggregated Patch Reef","Aggregated Patch Reef, Algae (Discontinuous)",158.230515037,953.726339735919,158.215763581088,0.165892203024294,1094,35.9302451949811,680,55573.5832578524,0,0,729822.545638056,486.568542480469
10,1,0,45,"HAE SCIU","SUBADULT",1,"PRESENCE",4,"REEF VISUAL CENSUS",217173.7668,43773.54243,1,9606.959961,-8.611211777,0.015415206,0.212270349,-0.019256592,0.009058994,-9,64,1.000000834,30.58092499,6.07605648,35.51097488,24.03162766,6.920571327,35.97830582,45,"Keys NOAA","Lagoon","Coral Reef and Hardbottom","Aggregated Patch Reefs",NA,"Algae",NA,"50%-90%","10%-50%","G_B_S_AP","B_A_B__P","Coral Reef and Hardbottom","Individual or Aggregated Patch Reef","Individual or Aggregated Patch Reef","Aggregated Patch Reef","Aggregated Patch Reef, Algae (Discontinuous)",158.230515037,953.726339735919,158.215763581088,0.165892203024294,1094,35.9302451949811,680,53836.306840146,0,0,731559.55636527,488.639617919922
